event_id,ts,video_rel,false_trigger,notes,reviewed_at,species,movement,count
1,2025-10-20 11:47:32,25  10  20  10  44\1.mp4,0,T,2026-01-30T11:57:34,Rainbow,Up,1
2,2025-10-20 11:48:32,25  10  20  10  44\2.mp4,0,T,2026-01-30T11:57:51,Chinook,Up,1
3,2025-10-20 12:10:49,25  10  20  10  44\3.mp4,0,,2026-01-30T11:58:14,Chinook,Stay,1
4,2025-10-20 12:18:10,,0,,2026-01-30T11:58:18,Non fish,Stay,1
5,2025-10-20 12:18:22,25  10  20  10  44\5.mp4,0,T,2026-01-30T11:59:05,Chinook,Stay,1
5,2025-10-20 12:18:22,25  10  20  10  44\5.mp4,0,T,2026-01-30T11:59:05,Chinook,Up,1
5,2025-10-20 12:18:22,25  10  20  10  44\5.mp4,0,T,2026-01-30T11:59:05,Rainbow,Up,1
6,2025-10-20 12:18:27,,0,,2026-01-30T11:59:10,Non fish,Stay,1
7,2025-10-20 12:18:34,25  10  20  10  44\7.mp4,0,,2026-01-30T11:59:24,Chinook,Down,1
7,2025-10-20 12:18:34,25  10  20  10  44\7.mp4,0,,2026-01-30T11:59:24,Chinook,Up,1
8,2025-10-20 12:20:50,,0,,2026-01-30T11:59:27,Non fish,Stay,1
9,2025-10-20 12:20:53,25  10  20  10  44\9.mp4,0,,2026-01-30T11:59:44,Chinook,Down,1
10,2025-10-20 12:21:22,25  10  20  10  44\10.mp4,0,,2026-01-30T11:59:59,Chinook,Up,1
11,2025-10-20 12:22:46,25  10  20  10  44\11.mp4,0,,2026-01-30T12:00:15,Chinook,Up,1
12,2025-10-20 12:24:16,25  10  20  10  44\12.mp4,0,,2026-01-30T12:00:33,Chinook,Up,1
13,2025-10-20 12:28:30,,0,,2026-01-30T12:00:37,Non fish,Stay,1
14,2025-10-20 12:28:41,25  10  20  10  44\14.mp4,0,A,2026-01-30T12:01:03,Chinook,Stay,1
14,2025-10-20 12:28:41,25  10  20  10  44\14.mp4,0,A,2026-01-30T12:01:03,Rainbow,Up,1
15,2025-10-20 12:33:23,25  10  20  10  44\15.mp4,0,,2026-01-30T12:01:20,Chinook,Up,1
16,2025-10-20 12:41:16,,0,,2026-01-30T12:01:23,Non fish,Stay,1
17,2025-10-20 12:41:25,25  10  20  10  44\17.mp4,0,,2026-01-30T12:01:49,Atlantic,Up,1
17,2025-10-20 12:41:25,25  10  20  10  44\17.mp4,0,,2026-01-30T12:01:49,Chinook,Up,1
18,2025-10-20 12:41:56,25  10  20  10  44\18.mp4,0,,2026-01-30T12:02:04,Chinook,Up,1
19,2025-10-20 12:44:11,25  10  20  10  44\19.mp4,0,,2026-01-30T12:02:20,Rainbow,Up,1
20,2025-10-20 12:44:29,25  10  20  10  44\20.mp4,0,,2026-01-30T12:02:37,Chinook,Stay,1
21,2025-10-20 12:48:27,,0,,2026-01-30T12:02:41,Non fish,Stay,1
22,2025-10-20 12:48:32,25  10  20  10  44\22.mp4,0,,2026-01-30T12:02:59,Chinook,Down,1
22,2025-10-20 12:48:32,25  10  20  10  44\22.mp4,0,,2026-01-30T12:02:59,Chinook,Up,1
23,2025-10-20 12:48:42,,0,,2026-01-30T12:03:03,Non fish,Stay,1
24,2025-10-20 12:48:50,25  10  20  10  44\24.mp4,0,,2026-01-30T12:03:18,Chinook,Down,1
25,2025-10-20 12:49:14,25  10  20  10  44\25.mp4,0,,2026-01-30T12:03:35,Chinook,Up,1
